name_of_player ,surname,id_position ,id_team ,nationality_p ,date_of_birth_player 
Toiboid,Mack,1,25,France,1981-04-28
Godart,Harbertson,6,3,Ukraine,2003-04-05
Dino,Stangroom,10,17,Sweden,1994-08-27
Rhys,Truitt,12,7,Sweden,1987-01-07
Killian,Kures,6,19,France,1980-04-26
Alvan,Dibdale,2,26,France,1990-03-27
Lamont,Bartolomivis,7,22,Poland,1993-09-10
Barnaby,Diment,4,9,Sweden,2008-09-29
Nolly,Culbard,2,20,Poland,2003-09-10
Franky,Stranaghan,12,10,France,1994-09-28
Omero,McLeoid,4,23,Sweden,1996-04-19
Osborne,Wishart,3,22,Poland,1982-11-21
Borden,Balf,9,5,France,1977-07-25
Jamil,Manueli,7,30,Sweden,1983-05-12
Paton,Pinn,7,18,Sweden,1980-07-10
Brook,Crummey,12,5,France,1993-06-12
Pall,Bettridge,13,36,France,1997-11-14
Burton,Egle,13,35,Poland,1986-12-07
Duncan,Ondricek,10,7,Poland,1989-01-12
Isidoro,Messier,9,14,France,2002-03-22
Corty,Hibling,11,36,France,2005-04-26
Trace,Hamblett,13,11,Sweden,1991-01-19
Padraic,Richardt,4,21,Switzerland,1980-01-15
Gerick,Trevallion,13,15,Poland,1998-06-14
Tammie,Trowbridge,11,5,Poland,1998-06-19
Benedict,Samwayes,7,35,Sweden,1984-06-25
Jefferson,Sulland,2,3,Ukraine,1985-04-22
Benoit,Jandl,11,11,Poland,2000-07-15
Zachery,Donaghy,1,29,Poland,1995-03-21
Whitman,Pyzer,4,19,Ukraine,1987-11-12
Timmy,Lissandrini,6,36,Poland,1983-02-06
Page,Avramovich,13,12,Spain,2006-07-01
Heinrick,Borge,3,34,Sweden,1992-11-09
Lin,Jaqueminet,1,25,Poland,1990-08-05
Patricio,Passmore,9,27,Poland,2000-04-03
Waldo,Rochford,5,13,Poland,1996-02-21
Perkin,Remmer,8,15,Poland,1995-05-25
Constantino,Fieldhouse,1,13,Ukraine,2004-03-01
Fielding,Garshore,4,12,Poland,2006-09-01
Rurik,Aiton,8,25,France,1979-12-29
Ricky,Fassum,2,13,France,1986-06-19
Lazarus,Olyfant,4,32,Poland,1977-11-11
Emmy,Haibel,2,38,Poland,1995-10-12
Emilio,Le Fevre,1,23,France,1994-02-12
Clark,Bernet,13,20,Germany,2002-09-24
Skyler,Goodenough,8,31,Spain,2000-04-08
Farrell,Pudner,5,11,Sweden,1985-01-19
Kingsly,Fellona,8,20,Sweden,2002-01-12
Shea,Ashment,11,12,France,1988-01-22
Timothee,Scotter,13,34,Sweden,1987-06-10
Eduard,Pescott,6,2,Ukraine,1991-07-03
Darin,Trulocke,7,30,France,1988-07-16
Pietrek,Danigel,13,7,Ukraine,2001-01-17
Fonzie,Biscomb,7,11,Sweden,1991-09-28
Marlon,Haigh,10,33,France,1984-08-14
Alfredo,Draude,1,14,France,1986-06-04
Somerset,Braganza,1,19,Ukraine,2002-01-23
Dallas,Siegertsz,3,18,Poland,1986-10-26
Julie,Goudard,9,13,France,1983-05-27
Courtney,Esslemont,4,17,Ukraine,1995-10-13
Oswald,Dosdill,7,35,France,1995-07-03
Julian,Hulls,11,13,Poland,1998-01-09
Rodd,Kamall,2,16,Sweden,1979-07-28
Armstrong,Marzelle,4,8,Ukraine,2002-06-01
Tore,Phythean,12,16,Ukraine,1986-11-22
Seumas,Berzons,4,34,Poland,1991-09-01
Terri,Perigo,10,29,France,1988-04-09
Mata,McParlin,5,35,Sweden,1995-01-05
Brod,Danihel,1,12,Poland,1987-01-03
Dolph,Cafferty,6,19,Poland,1985-02-10
Rutledge,Shippam,7,14,Sweden,2002-07-27
Wolfie,Bartlam,9,4,Poland,1988-12-03
Sully,Opfer,2,32,Ukraine,1990-09-15
Demott,Anslow,1,1,France,1982-05-07
Humfrey,Lugsdin,7,27,France,1977-04-06
Sigfrid,Safell,5,23,France,1987-02-08
Israel,Adamsen,8,25,Poland,1996-09-26
Denver,Lidstone,10,16,Poland,2001-09-13
Maurice,Turmel,8,12,Sweden,2008-02-21
Marcelo,Stanaway,11,29,Ukraine,2003-12-10
Antons,Armes,11,37,France,1999-11-04
Graig,Sibray,11,24,Poland,1978-09-04
Hans,Menichillo,1,9,Sweden,2006-03-03
Kiley,Itzkin,5,1,Sweden,2000-03-07
Bail,Georgeot,6,38,Sweden,1978-12-25
Marc,Kewzick,12,1,Germany,1995-08-22
Gunther,Slowley,3,10,Sweden,1999-09-13
Ebenezer,Hartnell,9,36,Poland,1988-09-28
Corbie,Boles,5,20,France,1989-06-03
Thorny,Anear,6,25,France,2005-07-17
Basile,Wescott,1,17,Poland,1987-01-12
Heindrick,D'Onise,5,7,Germany,1994-03-01
Mordy,Basham,2,29,Poland,1981-12-03
Scotti,Halton,13,27,Germany,2000-03-26
Elvyn,Pygott,2,34,Ukraine,2006-06-30
Patton,Callow,5,6,Sweden,2001-10-12
Trevor,Plaxton,1,8,Poland,1980-01-14
Dieter,MacRedmond,11,32,Sweden,1994-01-14
Tito,Storrier,3,30,Poland,2000-05-09
Simone,Biggadike,10,8,Sweden,1998-10-09
Paulo,Gilbart,7,24,Poland,1985-12-20
Shermie,Syres,11,11,Spain,1981-04-06
Aluino,Clee,11,37,Sweden,2005-07-29
Aldric,Robbe,12,7,Ukraine,2002-03-14
Clive,Scotchmoor,7,13,France,2001-02-24
Bennie,Fido,8,20,Ukraine,1989-08-14
Montague,Congram,8,26,France,1991-08-11
Zollie,Lanchester,8,25,Sweden,1992-11-07
Rockie,Cordrey,1,4,Germany,2004-11-12
Garreth,Szymanzyk,9,27,Sweden,1978-02-09
Corbet,Hardstaff,12,36,France,1982-07-20
Cassie,Eddison,9,24,Sweden,1987-04-27
Field,Folca,1,4,Sweden,2000-10-14
Vance,Ragsdale,13,19,Poland,1988-09-25
Goran,Rubenchik,4,32,Poland,2003-10-03
Jervis,Castaignet,8,30,France,2007-02-02
Morlee,Dearlove,11,31,Poland,2005-06-22
Karney,Chavey,8,22,France,1989-05-01
Valle,Gain,9,24,Ukraine,1985-11-26
Vincenty,Mahony,7,23,Poland,1994-02-11
Griswold,Erbe,3,24,Ukraine,2000-08-13
Webb,Hounihan,1,16,Poland,1990-05-11
Van,Redmond,3,30,Ukraine,1996-02-14
Kelsey,Mallaby,13,8,Poland,1993-04-19
Hamil,Balassa,1,14,Poland,1978-09-27
Chester,O'Nions,12,12,Poland,1992-12-22
Boony,Harkus,10,32,Poland,1995-04-19
Jeffy,McGrotty,3,25,Sweden,2007-01-01
Tabb,Alabaster,7,24,France,1986-12-10
Russ,Ellington,13,37,Poland,2004-03-02
Tremaine,Gallally,7,4,Poland,1988-02-09
Roderich,Woloschinski,7,34,France,2003-07-31
Hugo,Pohl,6,23,Ukraine,1980-05-03
Prent,Klimowski,9,37,Ukraine,1982-10-22
Lorant,Pretswell,10,24,France,1999-01-25
Cchaddie,Fortman,2,10,Spain,2007-06-15
Ervin,Gencke,11,13,France,1993-09-06
Sax,Free,13,31,France,1977-04-27
Obadias,McCreadie,2,36,Ukraine,2004-11-07
Darin,Spoor,12,23,Poland,1981-02-09
Wainwright,Eddins,6,34,Poland,2001-11-25
Leonid,Van der Beken,3,6,Sweden,2007-12-23
Des,Thrussell,5,7,Poland,1993-01-09
Colman,Beagan,13,37,Poland,2003-06-07
Foss,Grimble,2,36,Ukraine,1999-11-02
Dirk,Kildale,13,22,Sweden,2000-08-03
Glen,Maroney,10,28,Ukraine,1996-10-26
Rutherford,Trasler,9,34,France,1977-08-06
Alaster,Philippeaux,12,4,Poland,1979-11-25
Nikos,Rykert,6,31,France,2007-09-17
Melvin,Bethell,5,34,France,1982-04-28
Dov,Sidworth,11,9,France,1981-11-24
Logan,Lockey,13,4,Ukraine,1998-08-13
Andrej,Langcaster,3,19,Poland,1991-07-15
Brnaba,Mahaffey,8,36,Sweden,1982-03-13
Leigh,Kelinge,11,14,Ukraine,1987-08-26
Moe,Hotson,4,15,Germany,2004-05-19
Les,Caldwell,11,27,France,2006-12-14
Damon,Jonson,9,33,Poland,1996-09-29
Tudor,Foulser,12,27,Sweden,1984-09-28
Emelen,Gaze,2,35,Sweden,2001-08-07
Mendie,Renault,9,31,Sweden,1978-10-07
Jim,Vondra,11,15,Poland,1977-08-27
Reginauld,Colthard,13,25,Sweden,2002-10-25
Patrizio,Blackaby,2,13,Ukraine,2004-01-08
Devy,Johantges,4,14,Poland,1989-05-18
Ferdinand,Kupis,11,31,Sweden,1987-05-28
Stavros,Board,5,25,Poland,1991-10-29
Valentine,Artis,1,16,France,2006-04-16
Ban,Lauderdale,11,25,Poland,1991-08-09
Ive,Anthon,1,35,Sweden,1988-07-14
Sayre,Turford,8,27,Spain,1980-09-19
Lyle,Keming,3,10,Poland,2001-12-06
Ruddy,Hawksley,8,20,Ukraine,1992-03-09
Morry,Ferri,4,20,Sweden,1990-07-16
Georgy,Maggiori,13,20,Sweden,1990-03-07
Edouard,Brimblecomb,9,2,Poland,1987-09-23
Davidson,Marskell,4,29,Sweden,2006-08-11
Dunstan,Ellse,2,33,France,2001-04-22
Edlin,Stitfall,11,9,France,2006-12-04
Julio,Theaker,3,6,Sweden,1989-07-22
Adan,Crampton,11,24,Sweden,1984-07-29
Brade,Belward,12,24,France,2007-07-17
Noby,Linggard,2,21,Ukraine,1984-09-24
Ricard,Mullineux,8,30,Sweden,1994-04-06
Jackson,Pitway,13,13,France,2001-04-17
Bron,Carff,6,37,Poland,2005-01-15
Isador,Monnery,4,31,France,1982-03-15
Byrann,Sailer,7,12,Sweden,2002-10-06
Julius,Fardell,11,28,Poland,2000-02-24
Archibold,McCarter,11,17,Ukraine,2000-05-08
Pascal,Sheringham,10,34,Germany,1988-02-27
Arvin,Couth,3,36,Ukraine,1991-03-01
Hillery,Thebes,13,27,France,2001-03-22
Rubin,Banbridge,8,31,Poland,2007-06-26
Hew,MacCracken,9,33,Ukraine,2006-06-07
Ricard,Bothram,9,1,Poland,1977-05-29
Ezra,Zanettini,8,13,France,1989-07-12
Olav,Scrymgeour,1,35,Poland,1997-03-31
Alix,Crockett,3,24,Poland,1995-03-29
Taddeo,Boffey,2,8,Poland,1980-01-25
Niel,Stuehmeyer,9,4,Poland,1992-10-09
Clem,Itzkovitch,4,18,France,2004-10-11
Putnam,Merlin,11,22,Poland,1999-12-23
Cece,Edson,3,35,Sweden,1998-06-11
Barbabas,Bateman,9,17,Poland,1984-12-10
Oswell,Paulino,7,34,Ukraine,1987-01-16
Vale,Andreutti,10,20,France,1982-05-20
Shawn,Dorman,5,22,Ukraine,1993-07-15
Sterne,Goby,10,18,Sweden,1995-08-26
Alphonse,Govey,2,17,Sweden,2001-04-09
Jammal,Prandy,9,34,Ukraine,1994-12-20
Shem,Ormrod,7,36,France,1986-12-24
Reinold,McKellen,13,35,Poland,1992-04-30
Frasquito,Luxen,3,36,Poland,1997-04-13
Parry,Macknish,6,20,Ukraine,1994-05-30
Gaelan,Dyers,1,18,Poland,1983-05-06
Justus,Acom,2,4,Sweden,2002-03-20
Rollo,Webbe,8,38,Germany,1996-06-07
Englebert,Ortell,12,27,Sweden,1981-02-01
Hershel,Hacquard,2,17,Poland,1995-11-22
Micah,Jearum,5,28,Ukraine,1993-06-19
Link,Parres,4,8,Sweden,1982-10-26
Ennis,Schimke,3,10,France,2005-02-20
Che,Mesant,10,5,France,1993-10-11
Jeth,McGall,1,12,Sweden,1986-03-17
Elvis,Larver,4,11,Sweden,1999-05-04
Homerus,Canet,3,4,Poland,1990-02-16
Jerrome,Harvard,4,33,Sweden,1993-09-03
Nickolaus,Kubalek,7,34,Poland,1994-02-04
Avram,Bullivent,2,25,Germany,2007-04-23
Robin,Jurzyk,11,13,Ukraine,1991-07-30
Gilles,O'Halloran,6,16,Sweden,1985-12-07
Brennen,Rowdell,3,15,Poland,2004-02-09
Murdock,Andress,3,25,Poland,1981-07-24
Benedetto,Fehners,4,14,Spain,1977-08-15
Richart,Boule,6,24,Poland,1980-04-23
Wang,Benner,12,32,Ukraine,1981-04-22
Burt,Yockley,6,7,Poland,2006-06-14
Itch,Broadwood,13,38,Poland,1988-10-03
Averell,Hanselmann,8,29,Ukraine,1990-03-19
Leland,Scoffins,13,21,Poland,2003-03-26
Tiler,Cambden,2,8,Poland,2007-07-17
Fonzie,Toone,9,30,France,2001-12-16
Jeffrey,Le Provest,8,12,Ukraine,1993-06-04
Mario,Schade,10,19,Sweden,1980-02-27
Maurizio,Twinborough,3,24,Ukraine,2003-01-20
Sargent,Muat,4,18,Poland,2001-09-10
Lennie,Gerasch,3,35,Poland,2003-05-07
Aldis,Danaher,3,21,Sweden,1980-02-17
Cad,Tatlowe,10,15,France,1981-10-05
Conan,Broadhead,7,28,Sweden,1996-12-25
Bret,Wetwood,1,4,France,2007-01-05
Damon,Minshaw,9,18,Poland,1994-07-03
Artus,Bawles,2,21,France,2008-12-22
Ewart,Aylin,7,26,Sweden,2008-07-21
Martie,Kampshell,11,3,Ukraine,1991-12-04
Karlis,Ferro,7,32,Poland,2008-05-15
Carey,Ebhardt,5,36,Sweden,1986-01-28
Paquito,Matteini,7,36,Poland,2003-01-12
Elsworth,Caro,8,31,Poland,1991-01-11
Francklyn,Lillie,2,1,Poland,1984-08-11
Rolph,Aldington,9,25,Poland,1984-08-30
Jimmy,Veel,8,5,Ukraine,1983-01-29
Hazel,Fillan,8,13,Ukraine,2007-09-10
Elliot,Dunbobin,12,4,Sweden,1983-01-24
Angelo,Maulin,12,19,Ukraine,1988-04-20
Norbert,Quadling,1,7,Poland,1982-11-08
Trefor,Derricoat,13,9,Germany,2006-12-13
Clemente,Bricham,4,27,Poland,1980-03-30
Boyd,Greber,4,11,Germany,1988-08-19
Tucker,Davidowsky,10,11,Poland,2005-12-30
Wallie,Crellin,3,5,Poland,2003-12-17
Torey,Stodd,10,16,Spain,1987-10-12
Dominick,Got,9,21,Poland,2003-09-25
Quinn,Reynoollds,12,3,Poland,1998-07-06
Wallie,Grizard,10,33,France,1984-01-22
Lowell,Gable,6,18,Poland,2002-07-08
Herold,Buckby,2,27,Ukraine,2008-03-07
Arv,Burgise,12,10,France,1983-08-23
Hi,Carwithim,3,33,Ukraine,1990-12-10
Merrel,Hovie,2,10,Poland,1981-08-09
Averill,Polk,7,18,Poland,2005-08-01
Felizio,Tison,10,35,France,1991-03-27
Albrecht,Sottell,11,34,France,1979-07-13
Xenos,Ganley,7,14,Sweden,2006-07-02
Waldemar,Strawbridge,10,32,Sweden,1987-02-13
Lon,Habard,9,28,Sweden,1993-04-09
Solomon,Rother,13,28,France,1985-02-28
Worthington,Sawkins,2,2,France,1992-05-28
Keelby,Girt,7,37,France,1979-01-13
Eddie,Baudy,3,37,Sweden,1994-10-30
Pancho,Heathfield,13,21,France,1992-04-16
Rooney,McGuiness,12,23,Ukraine,1999-07-12
Ambrosio,Satterthwaite,4,8,Sweden,2005-02-03
Giraldo,Heater,8,13,Sweden,1998-11-02
Royal,Colnett,13,4,Ukraine,1984-08-07
Pippo,Wisby,3,7,Poland,1998-02-09
Archibold,Thoresbie,8,26,France,1978-10-28
Alphonso,Deek,12,20,Poland,1984-05-09
Nevins,Catcheside,6,5,France,1981-05-10
Saunder,Dignam,3,21,Poland,1994-04-18
Ariel,Hawkins,4,4,Poland,1997-02-11
Esteban,Seelbach,1,24,France,1977-05-19
Howard,Marten,11,22,Poland,1985-03-08
Alexandros,Scholig,13,12,France,1996-02-07
Hubey,Casaccia,12,6,France,1984-09-08
Xymenes,Capps,8,2,France,2008-11-15
Yance,Banbrook,10,5,Poland,1985-06-30
Gifford,Winnard,12,8,Germany,2008-05-10
Tucker,Blancowe,3,4,Germany,2006-09-29
Ulysses,Origin,11,13,Sweden,2004-10-31
Jarrod,Martin,7,7,France,1988-07-15
Tate,Ransley,11,34,Sweden,2003-09-22
Cesaro,Wernham,6,28,France,2000-09-04
Archie,McQuillen,3,33,France,1985-12-02
Randall,Donet,11,31,Ukraine,1999-01-09
Rabi,Brittian,10,35,France,2001-03-08
Powell,Edmunds,8,35,Sweden,1991-09-21
Worth,Andrivot,1,14,Poland,2007-12-11
Skylar,Monteith,10,27,Sweden,1988-03-05
Brenden,Rosenfield,13,15,Poland,1998-05-05
Jarib,Stollenhof,8,11,Poland,2003-08-05
Thatcher,McSwan,11,2,Ukraine,1991-12-09
Ulysses,Vaggs,2,10,Poland,1989-05-01
Hershel,Beirne,10,15,France,2002-01-26
Vernon,Tybalt,9,1,Ukraine,1982-03-01
Marijn,Linnemann,4,13,Ukraine,2002-10-19
Coleman,Langdale,6,17,Ukraine,1989-11-26
Rockey,Dooher,9,18,Sweden,2007-04-23
Gabi,Crombie,11,14,France,1993-02-25
Prinz,Feacham,4,12,Sweden,1994-10-05
Donalt,Bunker,5,24,Sweden,1996-05-12
Chrisse,Fipp,1,11,France,2005-01-10
Cullie,De Cruze,1,3,Sweden,1986-12-17
Conant,Unsworth,5,17,France,1989-08-09
Lorin,Headrick,3,33,Poland,2007-09-21
Raul,Poyser,6,12,France,2002-06-29
Ive,Shedden,7,16,Sweden,1979-09-07
Romeo,Lodder,1,24,Ukraine,1978-12-13
Alfonse,Caldeyroux,13,23,Ukraine,1997-12-06
Constantino,Albasiny,7,18,Sweden,1997-09-21
Joachim,Longhi,8,13,Sweden,1984-10-05
Guillermo,Frift,2,10,Sweden,1999-08-05
Darius,Bisseker,10,33,Poland,1984-12-02
Elden,Schinetti,5,30,Ukraine,2008-12-04
Eduino,Corryer,10,31,Ukraine,1982-12-25
Bondie,Thame,7,17,Sweden,1981-06-27
Ambrosius,Benneyworth,9,37,Poland,1997-08-14
Garvy,Grimsdell,7,15,France,1988-07-11
Dimitry,Penzer,7,37,Poland,1977-11-30
Jordan,Elders,7,13,Sweden,1997-02-20
Pennie,Keers,13,30,Ukraine,1996-12-16
Fabian,Perkin,2,3,Ukraine,1980-08-25
Kelley,Le Marchand,4,24,Sweden,1987-06-26
Chevy,Cannicott,11,7,Germany,1977-08-24
Maxy,Manna,9,36,France,1987-08-30
Parker,Lefort,10,38,France,1982-01-26
Wadsworth,Douche,7,33,Ukraine,1992-06-08
Kelly,Horrigan,9,37,France,2008-06-03
Wang,Brunskill,10,4,Sweden,2005-01-21
Malvin,Adame,3,24,Poland,1989-08-08
Zane,Duckels,4,38,Ukraine,1999-06-21
Pacorro,Kewish,8,12,Poland,1978-04-11
Esme,Haney`,6,26,France,2002-01-17
Lonnie,Ossulton,7,3,Poland,1987-12-24
Derrik,Billingsley,10,27,France,1991-06-11
Kienan,Canacott,10,13,Sweden,1991-03-02
Kasper,Youens,12,23,Sweden,1991-10-24
Konstantine,Fillgate,1,7,Ukraine,1988-10-25
Jone,Domelow,8,16,France,1996-02-23
Shelby,Batchley,2,10,Poland,1997-10-01
Duky,Hardern,13,28,France,2006-05-02
Laurence,Berthomieu,12,18,Poland,1978-06-22
Percival,Wearing,11,30,Poland,1977-11-26
Haslett,Cisneros,2,10,Sweden,1987-09-10
Halsey,Taplin,10,22,Poland,2001-01-24
Rustin,Barwis,13,28,France,1990-12-15
Inness,Drabble,8,8,Sweden,1998-08-14
Lemmie,Saiz,9,15,Sweden,1985-11-15
Chilton,Jopp,4,13,France,1990-03-06
Bailey,Redwing,9,24,France,1978-08-25
Woody,Franzetti,4,30,Germany,1990-05-10
Durante,Swainsbury,5,35,France,1990-09-27
Ewell,McReynold,3,35,Germany,1987-02-04
Donavon,Vanyarkin,13,22,France,1985-08-09
Sheppard,Boak,13,21,Poland,2002-09-17
Evin,Mixon,12,31,Poland,1998-12-31
Orazio,Kondratenya,4,33,Germany,1989-11-29
Yorgos,Snozzwell,12,37,Sweden,2003-10-29
Hirsch,Sapey,1,14,Sweden,1999-10-09
Konrad,Loggie,7,33,Poland,1986-10-12
Conway,Earwaker,7,18,France,1986-07-14
Baron,Simko,8,16,Poland,2000-09-11
Roger,Vasilevich,1,7,Ukraine,1977-03-27
Mylo,Veljes,6,16,Sweden,1998-10-23
Remington,Preuvost,2,14,Poland,1979-07-20
Pyotr,Wolseley,10,17,Poland,1996-06-04
Pavel,Petteford,3,12,Ukraine,1995-01-03
Karlens,Daws,4,30,Poland,1999-04-21
Hilary,Moule,3,23,Sweden,1987-01-23
Pacorro,Clemenzo,7,22,Germany,1996-02-20
Cosme,Gilmore,10,21,Ukraine,1997-04-10
Don,Gentile,2,27,Sweden,2000-01-07
Delmar,Golston,9,2,France,1993-06-13
Jo,Hummerston,9,23,France,1998-08-16
Stafford,Tittletross,12,22,Poland,1992-01-05
Staffard,Jendas,4,26,Sweden,2008-03-27
Nealson,Veck,11,26,France,1983-10-23
Rene,Jobke,11,38,Sweden,2003-10-08
Eal,Wager,8,17,France,1981-03-12
Archibaldo,Plampin,12,29,Sweden,1996-03-11
Richard,Wardroper,2,29,Ukraine,1983-12-19
Kim,Corbould,6,16,Poland,2000-06-07
Isac,Gloster,3,6,France,1989-02-19
Elton,Sculpher,8,31,Poland,1987-02-25
Batholomew,Kellet,10,37,Sweden,1984-10-20
Daryl,Kelledy,1,12,Poland,2004-10-28
Enoch,Grund,2,28,France,1986-07-21
Archie,Van Velden,5,11,France,1986-02-25
Boyce,Houndesome,10,1,France,1977-03-15
Angus,Oakenfield,6,19,Poland,2000-01-29
Nappie,Pilling,4,30,Poland,1982-05-21
Christian,Bus,11,12,Poland,1995-06-24
Lewiss,Wey,12,26,Poland,1992-09-16
Quent,Mordie,12,4,Ukraine,1990-10-29
Grantley,Kolis,10,1,Ukraine,1995-11-28
Berkeley,Rzehorz,7,35,Ukraine,1977-11-06
Lazarus,Cannan,1,12,France,2002-05-10
Rockwell,Gellately,8,22,France,1983-04-11
Hamnet,Orhrt,5,35,Sweden,1986-12-09
Gerhardt,Indgs,5,38,Spain,1998-09-30
Petr,Bugg,5,29,Poland,1983-10-14
Zebedee,Rosenstein,12,38,Ukraine,1991-12-17
Filmer,Realph,2,12,Germany,2001-08-11
Dick,Millions,7,33,Germany,1999-02-25
Hayden,Tidswell,4,33,France,2003-02-23
Darryl,Spira,11,38,Ukraine,1988-07-14
Sasha,Poag,9,4,France,2000-01-02
Rolland,Sharphouse,5,13,France,1981-10-15
Gustaf,Salway,6,27,Poland,2002-01-19
Germayne,Blanket,4,3,Germany,2008-12-23
Gilburt,Treffrey,2,17,France,1991-04-16
Benedicto,Tibbotts,9,24,Poland,2002-02-27
Stern,Gogarty,1,15,France,1998-08-19
Nehemiah,Newey,11,17,France,1986-08-09
Spencer,Hammel,6,32,Ukraine,1985-07-17
Kerwinn,Artois,4,31,Poland,2008-01-17
Virge,Derye-Barrett,9,9,Ukraine,1984-11-29
Iain,Omar,13,21,Sweden,1988-09-05
Wade,Chipps,10,16,Poland,1995-11-04
Erv,Decaze,3,8,France,2000-02-16
Bay,Lisciardelli,9,35,Poland,1991-10-14
Mario,Epps,4,12,Sweden,1986-04-28
Rowan,Kumaar,9,14,France,1977-05-19
Antonius,Klaff,7,18,Poland,1995-12-09
Pierson,Bagguley,7,37,Poland,2005-07-31
Leonid,Howlings,9,19,France,1998-05-09
Ruperto,Pickaver,13,17,Poland,1980-10-08
Marten,Eliez,8,20,Ukraine,1985-11-04
Zebadiah,Ventam,6,13,France,1990-01-26
Bronson,Dalliwater,1,13,Sweden,1986-06-21
Meredeth,Filippazzo,7,16,Poland,1991-02-11
Wallie,Pell,10,38,Poland,1986-11-24
Dolph,Govinlock,10,19,France,1998-06-27
Felipe,Klulisek,13,25,Sweden,2002-04-29
Adolph,Leverett,3,1,Poland,2006-02-25
Salomone,Fullwood,5,1,France,1984-08-03
Lukas,While,11,9,Poland,1991-03-08
Kennith,Gladtbach,8,13,Ukraine,1987-03-29
Richie,Taborre,4,11,France,1992-12-17
Bartolomeo,Zealander,13,17,Sweden,2000-03-04
Torrin,Leirmonth,9,38,France,2007-05-21
Walsh,Twycross,11,23,Poland,1988-10-13
Mahmoud,Rankin,1,17,Ukraine,2000-06-26
Sherman,Longstreeth,12,31,Poland,1997-05-02
Ichabod,Tyas,7,6,France,2002-12-30
Gayelord,Ondrak,12,11,France,2006-06-02
Avram,Lusgdin,7,21,Ukraine,2008-07-29
Brigg,Jirik,6,31,Sweden,2003-12-28
Lalo,Lashmar,10,14,Sweden,1990-07-15
Abdel,Habbert,3,12,France,2003-02-28
Ferrell,Probets,5,1,Spain,2007-02-08
Lonnard,De Francesco,12,35,France,2008-01-10
Jeffy,Kearton,2,7,Poland,1984-08-31
Anthony,Wharton,4,38,France,1998-08-14
Claire,Nieass,5,35,Sweden,2001-07-15
Hayden,McGaw,7,7,Poland,1993-07-07
Bart,Waleran,4,2,Ukraine,1981-03-13
Guntar,Acland,12,18,France,1985-10-20
Erich,Costerd,1,18,France,2007-02-01
Leonardo,Franzini,7,29,France,2004-02-26
