name_of_player ,surname,id_position ,id_team ,nationality_p ,date_of_birth_player 
Carver,Eathorne,5,58,Ukraine,2003-01-06
Jamill,Kemmis,4,67,Israel,2008-03-27
Richie,Emmet,11,68,Germany,2006-07-20
Thornie,Clinning,1,60,Ukraine,2008-07-27
Gabie,Rout,13,42,Ukraine,2005-11-05
Andie,Barde,1,47,Israel,2008-09-12
Thaddus,Lawlie,7,49,Ukraine,2008-02-18
Buddie,Carling,3,41,Germany,2006-12-17
Filip,Foxten,6,59,Ukraine,2007-07-14
Antonius,Rillstone,1,39,Ukraine,2004-05-22
Vern,Radish,9,44,Ukraine,2004-12-06
Salem,Feron,8,41,Ukraine,2003-07-15
Brad,Matisoff,2,67,Ukraine,2003-10-01
Eric,Papa,2,43,Ukraine,2004-10-07
Frasier,O'Sheils,8,53,Germany,2007-05-10
Willem,Haynes,13,67,Ukraine,2004-08-27
Vern,Vasyuchov,8,65,Ukraine,2006-12-30
Raimund,Blain,13,66,Germany,2005-10-15
Whitaker,Seckom,2,57,Ukraine,2007-08-20
Rube,Beacock,9,59,Ukraine,2003-11-30
Felicio,Pairpoint,9,66,Ukraine,2005-04-21
Orson,Clavey,2,50,Israel,2008-05-12
Rudd,Merrill,3,62,Israel,2003-12-29
Miller,Cocklin,5,58,Ukraine,2008-11-11
Conrad,Titta,9,54,Ukraine,2007-08-28
Boy,Couvet,5,59,Germany,2005-11-19
Emlen,Preedy,12,63,Israel,2005-01-05
Sylas,Collie,10,65,Ukraine,2008-04-13
Donall,Weblin,2,54,Ukraine,2005-05-27
Siward,Gaudon,7,43,Ukraine,2008-02-12
Bartholomeus,Rannie,12,53,Ukraine,2003-03-08
Domenico,Astbury,12,41,Ukraine,2004-05-21
Kliment,Schowenburg,4,68,Ukraine,2003-07-07
Isidor,Kenwright,6,43,Ukraine,2004-07-13
Jeremie,Paffley,11,62,Ukraine,2008-02-01
Merwin,Barden,4,39,Israel,2008-04-19
Parnell,Lammiman,6,49,Ukraine,2003-10-01
Gibbie,Avon,1,61,Ukraine,2003-01-25
Allistir,Sacker,13,42,Ukraine,2004-11-28
Papageno,Tees,1,52,Ukraine,2004-12-21
Tim,Skypp,4,51,Ukraine,2007-12-01
Roldan,Hillyatt,10,51,Germany,2003-01-08
Dallis,Khalid,9,62,Ukraine,2005-05-06
Ricardo,Quantrill,12,60,Israel,2007-01-14
Bartholemy,Poynor,3,65,Ukraine,2003-05-19
Chicky,Lafuente,9,63,Ukraine,2008-07-31
Forster,MacGruer,7,48,Ukraine,2004-05-26
Royal,Burchmore,3,45,Ukraine,2006-02-02
Silvain,Grime,11,54,Israel,2008-04-15
Vergil,Artrick,11,69,Israel,2003-10-28
Ferdinand,Minci,11,45,Ukraine,2003-07-27
Grenville,Seppey,6,46,Ukraine,2006-08-10
Stewart,D'Antuoni,5,47,Ukraine,2006-10-10
Shae,Goodding,12,62,Ukraine,2005-01-10
Curtice,Patters,13,55,Ukraine,2003-07-17
Hailey,Boodle,12,60,Ukraine,2007-06-19
Forrester,Woofinden,12,60,Germany,2008-10-02
Chrissie,Lampens,10,44,Germany,2008-05-29
Jasun,Wiffield,12,44,Ukraine,2007-04-12
Niki,Carbry,2,68,Israel,2007-09-06
Marten,Alvares,9,61,Ukraine,2004-11-29
Cosmo,Munks,11,59,Ukraine,2004-09-09
Riccardo,Burnall,2,54,Ukraine,2005-10-08
Hogan,Ivanuschka,12,46,Germany,2006-11-21
Colan,Smylie,10,39,Ukraine,2006-05-05
Giacopo,Yokel,12,46,Ukraine,2007-09-10
Iain,Crumb,5,43,Ukraine,2004-10-11
Innis,Osburn,8,67,Ukraine,2005-08-08
Rafe,Caudray,10,46,Ukraine,2003-05-21
Willard,Hurch,8,40,Germany,2007-09-01
Gerick,Weond,13,69,Ukraine,2006-07-27
Gib,Senter,2,49,Ukraine,2006-11-06
Phillipp,Braybrookes,8,50,Ukraine,2007-10-23
Neall,Pideon,6,51,Ukraine,2004-06-11
Salim,Baudrey,10,40,Ukraine,2008-05-06
Ambrosi,Dillaway,12,42,Israel,2006-07-29
Forester,Sympson,12,45,Ukraine,2007-06-03
Minor,Woodhall,9,59,Ukraine,2008-01-10
Baillie,Polet,8,66,Ukraine,2005-06-28
Mort,Freeborne,10,40,Ukraine,2006-10-16
Welbie,Shank,4,53,Ukraine,2004-11-13
Lancelot,Khomin,6,46,Ukraine,2007-05-30
Mill,Twatt,7,54,Ukraine,2004-02-15
Hubie,Rielly,9,63,Ukraine,2004-02-09
Riobard,Antonutti,2,69,Ukraine,2006-11-13
Murry,Newberry,3,42,Ukraine,2008-04-09
Care,Lyffe,10,50,Ukraine,2003-06-27
Laurie,Flori,6,51,Ukraine,2005-01-13
Gib,Cubbinelli,5,66,Ukraine,2005-10-20
Carce,Decker,6,50,Ukraine,2003-06-30
Waite,Comolli,6,63,Ukraine,2005-05-22
Noble,Boutwell,13,61,Germany,2008-09-25
Emile,Sicha,1,66,Ukraine,2005-05-25
Hubey,Lanchbery,1,44,Israel,2004-07-20
Nealson,Stiegar,6,55,Ukraine,2007-11-15
Kiley,Townby,10,47,Ukraine,2003-10-10
Garwood,Poplee,10,61,Ukraine,2005-07-01
Rowan,Folds,9,39,Ukraine,2003-06-15
Yvon,Strafen,1,42,Ukraine,2005-12-03
Marven,Trowl,10,49,Ukraine,2005-03-22
Donall,Mayling,6,65,Germany,2004-06-11
Matthiew,Achromov,5,68,Ukraine,2005-02-08
Neil,McDiarmid,3,62,Ukraine,2006-03-10
Vincents,Cordon,7,68,Israel,2008-05-13
Raimundo,Joost,6,51,Ukraine,2004-04-24
Redford,Stansell,12,55,Ukraine,2005-03-13
Dallon,Dracey,7,60,Ukraine,2008-04-26
Jaymie,Bywaters,2,60,Ukraine,2006-11-20
Gardie,Withull,6,39,Ukraine,2007-06-21
Sinclair,Weyman,8,42,Ukraine,2003-05-20
West,McKerton,11,65,Ukraine,2007-03-04
Derk,Symson,9,49,Ukraine,2004-07-06
Harold,Swinburne,7,53,Ukraine,2008-10-09
Logan,Klicher,11,51,Ukraine,2008-10-24
Kain,O' Dornan,7,58,Ukraine,2005-09-06
Curry,Sloyan,4,52,Ukraine,2007-04-09
Duff,Yurasov,2,50,Ukraine,2007-12-25
Jacques,Cosstick,13,63,Ukraine,2008-10-01
Reinaldo,Crowcher,3,60,Ukraine,2004-10-26
Neill,Doorbar,9,58,Ukraine,2005-10-09
Moe,Pash,6,40,Ukraine,2007-09-08
Tynan,Fateley,8,69,Ukraine,2008-04-27
Powell,Carthy,5,41,Ukraine,2005-12-07
Ford,Sea,3,66,Ukraine,2006-11-04
Archambault,Caress,10,68,Germany,2005-12-19
Worthy,Jaulme,8,54,Ukraine,2003-05-20
Mandel,Illem,9,64,Ukraine,2004-07-22
Dimitry,Chadbourne,6,69,Ukraine,2004-12-02
Donavon,Hagstone,11,45,Israel,2007-05-25
Jonas,Jiricka,10,59,Israel,2005-11-01
Glenn,Warrilow,1,54,Ukraine,2008-07-08
Olvan,Trollope,2,56,Ukraine,2007-09-24
Staffard,Matussevich,9,56,Ukraine,2007-02-05
Craggie,Lathey,12,44,Ukraine,2006-05-02
Abe,Artis,4,59,Ukraine,2004-04-14
Brigham,Adamczyk,6,68,Germany,2005-12-18
Niles,MacCollom,10,53,Ukraine,2008-02-29
Hew,Van Der Vlies,9,54,Ukraine,2003-07-13
Pat,Lubomirski,2,64,Ukraine,2004-07-15
Wade,Lavens,6,69,Ukraine,2008-07-12
Tulley,Koppens,12,46,Ukraine,2007-09-26
Tanner,Mengo,5,60,Ukraine,2005-05-16
Brent,Prosch,13,55,Ukraine,2007-04-12
Leonard,Kubek,9,47,Ukraine,2007-06-29
Hammad,Bundey,11,55,Ukraine,2008-12-15
Pebrook,Renton,4,62,Ukraine,2007-11-29
Olivier,Cawse,6,43,Ukraine,2003-07-15
Robbie,Muzzi,11,62,Ukraine,2005-12-10
Sayers,Gillease,8,68,Ukraine,2005-05-29
Rorke,Tumioto,12,53,Ukraine,2003-05-09
Boote,Sirr,7,66,Ukraine,2007-07-01
Neron,Campbell,9,61,Germany,2008-12-04
Jonathan,Deware,11,68,Ukraine,2008-08-14
Warner,Antonoczyk,11,58,Ukraine,2004-12-13
Noam,McFadden,6,47,Israel,2003-09-16
Valentijn,Foston,9,40,Ukraine,2003-12-25
Yale,Fidele,8,60,Ukraine,2005-09-03
Thatcher,Petley,1,55,Ukraine,2007-01-14
Matthieu,Rasell,1,67,Ukraine,2008-05-16
Edsel,Anstee,9,53,Ukraine,2008-11-27
Jakie,Wither,5,59,Ukraine,2007-05-21
Berkly,Round,8,63,Ukraine,2003-01-17
Eugenius,Galtone,13,57,Ukraine,2006-03-03
Chet,Augur,9,66,Ukraine,2003-12-28
Stu,Jatczak,11,65,Ukraine,2005-07-19
Kris,Airton,6,50,Ukraine,2003-08-18
Hendrik,Woodroofe,6,45,Ukraine,2004-08-18
Uriel,Corbyn,11,54,Ukraine,2006-02-10
Osborne,Bannard,3,65,Israel,2004-05-15
Kenton,Tipens,4,41,Ukraine,2007-08-22
Giorgio,Betton,9,58,Ukraine,2004-03-20
Ned,Boncore,2,60,Ukraine,2005-07-17
Mathian,Rolfi,1,47,Ukraine,2005-12-24
Kristofor,Vile,7,69,Ukraine,2007-01-21
Barnie,Everix,10,60,Ukraine,2006-04-23
Goddard,Luckey,13,57,Ukraine,2007-09-07
Stevy,Mounch,6,69,Ukraine,2008-12-03
Maximilien,Hallbord,9,59,Ukraine,2007-09-11
Federico,Puleston,9,66,Ukraine,2007-01-13
Delano,Henriet,9,65,Ukraine,2006-04-19
Melvin,Dodell,5,42,Ukraine,2003-09-27
Herve,Gouny,9,43,Ukraine,2003-01-11
Claiborne,Webbe,1,63,Ukraine,2003-01-07
Damiano,Hannan,9,39,Germany,2004-01-17
Martino,Millar,6,69,Germany,2004-02-15
Willard,Vaissiere,13,60,Ukraine,2008-11-30
Hoebart,Gasticke,2,62,Ukraine,2003-03-10
Udale,Huey,11,39,Ukraine,2005-02-19
Zolly,Sarsons,10,67,Ukraine,2004-11-12
Ralf,Axelbey,1,56,Ukraine,2005-01-09
Leonerd,McCourtie,12,61,Germany,2003-01-22
Giffard,Chilton,9,49,Ukraine,2008-07-06
Vincenty,Fathers,13,53,Ukraine,2008-08-21
Adolphe,Phoebe,10,51,Ukraine,2006-04-22
Brady,Palfreman,10,68,Ukraine,2003-04-12
Palmer,Gladwell,13,57,Ukraine,2006-09-18
Jonathan,Bourrel,8,45,Ukraine,2008-11-25
Garrot,Calcraft,5,60,Ukraine,2004-04-04
Todd,Mc Elory,1,60,Ukraine,2007-07-13
Archy,Negal,3,42,Germany,2008-12-01
Grannie,Elvey,12,42,Ukraine,2004-08-29
Udell,Leuty,9,69,Germany,2003-03-09
Raffarty,Compston,8,52,Israel,2006-01-17
Derk,Carrabott,6,40,Ukraine,2007-12-29
Cullin,Ketton,7,44,Ukraine,2004-02-18
Berky,McNabb,12,62,Germany,2008-08-26
Arther,Minthorpe,12,59,Ukraine,2005-06-21
Buiron,Drews,6,65,Ukraine,2004-08-09
Rodolph,Belchamber,11,65,Ukraine,2003-08-28
Kerk,Hansley,11,67,Ukraine,2008-06-15
Burnaby,Bennie,8,52,Ukraine,2008-02-11
Halsy,Dackombe,1,56,Germany,2008-07-28
Sauveur,Wolfart,7,57,Ukraine,2004-10-25
Ansel,Kiddey,12,45,Ukraine,2008-08-06
Marcellus,Bleby,10,50,Ukraine,2005-03-11
Alistair,Bloyes,7,61,Ukraine,2003-05-18
Michail,McIlharga,9,57,Germany,2004-01-30
Ave,Cassells,1,50,Ukraine,2006-09-23
Willdon,Donaho,2,51,Ukraine,2008-07-16
Maximilian,Paggitt,13,64,Ukraine,2004-12-31
Laird,Shay,4,68,Germany,2005-09-24
Merle,Wickes,8,57,Ukraine,2007-04-21
Cristian,Farris,5,66,Ukraine,2003-03-04
Alphonse,Heppner,11,48,Ukraine,2003-05-18
Torin,Ateridge,11,64,Germany,2007-02-28
Pippo,Randle,6,40,Ukraine,2008-03-24
Robb,Kinleyside,10,59,Israel,2008-07-18
Archibald,Witul,5,58,Ukraine,2003-11-28
Hilarius,Flint,6,52,Ukraine,2005-11-07
Durant,Pardew,10,66,Israel,2005-03-26
Gallard,Harget,6,64,Ukraine,2007-08-17
Goober,Sennett,7,47,Ukraine,2006-07-03
Emmerich,Rodden,4,49,Germany,2004-06-15
Robinet,Wildash,5,45,Ukraine,2003-01-12
Elden,Baser,4,60,Ukraine,2006-09-11
Cristiano,Giovannacci,2,64,Israel,2003-09-02
Hillard,Howarth,5,64,Ukraine,2005-11-07
Brady,Hustler,3,43,Ukraine,2004-01-26
Jorge,MacCracken,2,66,Ukraine,2005-05-16
Alleyn,Power,10,43,Germany,2008-10-31
Killian,Golder,2,50,Germany,2003-07-14
Frazier,Andrusyak,9,44,Ukraine,2006-07-22
Manny,Dowbakin,7,66,Ukraine,2008-11-18
Chad,Dunican,7,56,Germany,2006-02-24
Hernando,Shallcross,6,58,Germany,2007-07-31
Alastair,Didball,4,45,Ukraine,2006-11-20
Baldwin,Gergolet,7,49,Ukraine,2008-12-27
Wally,Escala,10,66,Ukraine,2004-04-24
Seward,Mcasparan,2,56,Ukraine,2004-12-29
Tyson,Falco,3,64,Ukraine,2004-03-27
Elmo,Beddoes,10,42,Ukraine,2005-03-25
Bucky,Land,12,42,Ukraine,2003-01-25
Dana,Pithcock,4,58,Ukraine,2007-04-01
Derrick,Schust,9,60,Ukraine,2006-06-21
Jamie,Bodley,8,66,Ukraine,2006-07-25
Ber,Mallett,11,60,Ukraine,2006-07-25
Gene,Radolf,12,53,Ukraine,2003-04-04
Edmund,Glennie,5,44,Ukraine,2003-04-06
Jacobo,Records,8,69,Germany,2007-11-13
Stanislaw,Postle,4,52,Ukraine,2003-03-08
Judas,Trime,3,53,Germany,2007-11-10
Tymothy,Try,10,39,Ukraine,2006-03-21
Culver,Duncan,11,43,Ukraine,2008-03-29
Leonardo,MacMaster,11,62,Germany,2007-08-14
Quinn,Ellissen,6,39,Israel,2004-07-04
Jesse,Karlsen,9,58,Germany,2007-04-12
Gibb,Devin,10,66,Israel,2005-09-06
Marlow,Heatley,12,66,Ukraine,2005-11-02
Kylie,Vockings,11,56,Ukraine,2007-07-07
Adan,Giovanetti,6,69,Ukraine,2005-12-21
Vinson,Domino,2,63,Ukraine,2003-08-31
Thorndike,Jahns,1,59,Ukraine,2004-06-28
Paolo,Orr,1,51,Ukraine,2005-06-26
Gannon,Beddard,5,69,Ukraine,2007-12-02
Tedman,Ellicock,12,48,Ukraine,2003-02-21
Nikita,Chatenier,5,40,Ukraine,2008-03-09
Ebeneser,Echallier,1,51,Ukraine,2006-07-15
Abner,Circuit,12,57,Ukraine,2004-05-09
Earlie,Collet,11,54,Israel,2004-11-12
Hadley,Chicotti,7,45,Germany,2008-01-28
Barty,Blomfield,3,48,Ukraine,2004-04-17
Gearalt,Karpf,5,50,Ukraine,2005-03-05
Randie,Gue,4,69,Germany,2004-03-11
Welby,Millgate,12,40,Israel,2004-05-20
Conrado,Clout,5,49,Ukraine,2003-04-30
Deane,Saylor,4,65,Ukraine,2004-04-29
Ollie,Botting,7,39,Ukraine,2005-06-01
Allard,Hubbold,12,42,Ukraine,2006-04-24
Foss,Biddiss,9,47,Ukraine,2003-12-18
Lloyd,Louch,8,55,Israel,2003-10-20
Arron,Trim,12,66,Germany,2007-03-03
Brade,Glowacki,6,69,Ukraine,2008-11-25
Parke,Fozard,8,53,Ukraine,2003-12-27
Mitch,Kapiloff,1,48,Ukraine,2004-05-28
Sholom,Glave,3,62,Ukraine,2008-05-29
Harcourt,Fowls,3,60,Ukraine,2008-04-27
Paulo,Burrett,8,46,Ukraine,2003-05-03
Christos,Raveau,4,50,Ukraine,2008-07-30
Sullivan,Chatres,8,59,Ukraine,2003-03-14
Marwin,Hexum,8,41,Ukraine,2006-10-02
Reginauld,MacNeilly,3,46,Ukraine,2005-08-05
Yves,Stummeyer,8,43,Germany,2006-01-27
Wade,Leyborne,11,63,Ukraine,2003-06-23
Prince,Bramhill,7,39,Ukraine,2004-12-05
Cullan,MacCaghan,5,56,Ukraine,2006-09-24
Kingsly,Ellesworthe,2,64,Ukraine,2008-08-28
Joaquin,Gristwood,8,56,Ukraine,2004-02-13
Derrik,Phelipeau,8,47,Ukraine,2003-05-08
Aksel,Hilary,2,55,Ukraine,2006-06-18
Silvain,Hilhouse,11,69,Ukraine,2008-03-28
Borg,Costigan,9,57,Ukraine,2008-11-30
Trevar,Bertlin,1,59,Israel,2008-02-01
Ferguson,Winley,4,46,Ukraine,2003-08-14
Erroll,Casely,8,47,Germany,2004-06-17
Verge,Hand,7,68,Ukraine,2007-11-22
Holmes,Cussons,2,54,Ukraine,2008-12-24
Earlie,Reding,8,47,Germany,2008-07-12
Skipton,Selman,10,40,Ukraine,2004-05-12
Silvanus,Dipple,9,47,Ukraine,2003-04-20
Justus,Shinner,3,44,Ukraine,2004-12-01
Jud,Disbrow,8,57,Ukraine,2003-08-17
Hort,Edmands,1,62,Ukraine,2005-01-28
Rafael,Nealand,5,39,Ukraine,2006-04-19
Osgood,Faragher,13,54,Germany,2007-08-10
Piggy,Kenwright,8,66,Ukraine,2008-07-03
Gian,Deavall,6,62,Ukraine,2008-05-16
Jocko,Lennarde,7,55,Ukraine,2007-01-11
Caesar,Minchenton,13,58,Germany,2003-11-17
Alastair,De Bruin,10,53,Ukraine,2004-05-24
Artur,Humbee,8,50,Ukraine,2003-01-08
Guss,Davidovic,12,58,Ukraine,2007-05-06
